Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,43,0,1957
2,150,0,1807
3,178,0,1629
4,27,0,1602
5,167,0,1435
6,61,0,1374
7,0,626,2000
8,189,0,1811
9,74,0,1737
10,98,0,1639
11,55,0,1584
12,80,0,1504
13,6,0,1498
14,0,502,2000
15,27,0,1973
16,121,0,1852
17,180,0,1672
18,40,0,1632
19,0,0,1632
20,9,0,1623
21,0,377,2000
22,199,0,1801
23,157,0,1644
24,175,0,1469
25,31,0,1438
26,48,0,1390
27,174,0,1216
28,0,784,2000
29,179,0,1821
30,139,0,1682
31,196,0,1486
32,147,0,1339
33,94,0,1245
34,147,0,1098
35,0,902,2000
36,187,0,1813
37,19,0,1794
38,200,0,1594
39,91,0,1503
40,29,0,1474
41,114,0,1360
42,0,640,2000
43,74,0,1926
44,12,0,1914
45,200,0,1714
46,108,0,1606
47,14,0,1592
48,181,0,1411
49,0,589,2000
